Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Seymour Pony Club,Corner Taroombe & Delatite Roads,Seymour,3660,VIC,-37.024529,145.136911,Pony Club,Murrindindi (S); Mitchell (S),Hume Region
Shepparton Pony Club,Goulburn Valley Highway,Kialla,3631,VIC,-36.56507,145.347296,Pony Club,Greater Shepparton (C),Hume Region
Smythesdale Pony Club,Woady Yaloak Equestrian Centre,Smythesdale,3351,VIC,-37.642988,143.686088,Pony Club,Moyne (S); Ararat (RC); Golden Plains (S),Grampians Region; Barwon South Western Region
St Andrews Pony Club,Clinton's Road,Smiths Gully,3760,VIC,-37.636226,145.279228,Pony Club,Nillumbik (S),North and West Metropolitan Region
St Arnaud Pony Club,Bush Park,St Arnaud,3478,VIC,-36.615552,143.281879,Pony Club,Northern Grampians (S),Grampians Region
Stawell Pony Club,49 Bulgana Road,Stawell,3380,VIC,-37.061814,142.806759,Pony Club,Northern Grampians (S),Grampians Region
Stratford Pony Club,Knob Reserve,Stratford,3862,VIC,-37.983708,147.099981,Pony Club,Wellington (S),Gippsland Region
Sunbury Pony Club, Harker Street ,Sunbury,3429,VIC,-37.586528,144.733625,Pony Club,Melton (S); Hume (C),North and West Metropolitan Region
Swan Hill Pony Club,Feltdmann Lane,Swan Hill,3585,VIC,-35.340522,143.561435,Pony Club,Swan Hill (RC),Loddon-Mallee Region
Swifts Creek Pony Club,Ensay Recreation Reserve,Ensay,3895,VIC,-37.369524,147.835636,Pony Club,East Gippsland (S),Gippsland Region
Templestowe Pony Club,Petty's Reserve,Templestowe,3106,VIC,-37.761804,145.153049,Pony Club,Manningham (C),Eastern Metropolitan Region
Toolern Vale Pony Club,Melton Equestrian Centre,Melton,3337,VIC,-37.682979,144.580466,Pony Club,,
Toongabbie Pony Club,Behind the Toongabbie Recreation Reserve,Toongabbie,3856,VIC,-38.057479,146.623789,Pony Club,Latrobe (C),Gippsland Region
Tooradin Pony Club,Lynes Road,Tooradin,3980,VIC,-38.190034,145.369259,Pony Club,Casey (C),Southern Metropolitan Region
Trafalgar Pony Club,Reserve Road,Trafalgar,3824,VIC,-38.206831,146.144895,Pony Club,Baw Baw (S),Gippsland Region
Traralgon Pony Club,Traralgon and District Pony Club Grounds ,Traralgon,3844,VIC,-38.197109,146.534618,Pony Club,Latrobe (C),Gippsland Region
Trentham Pony Club,Newbury Reserve,Trentham,3458,VIC,-37.388816,144.322381,Pony Club,Moorabool (S); Macedon Ranges (S); Hepburn (S),Loddon-Mallee Region; Grampians Region
Truganina Braybrook Pony Club,Cnr Woods and Dohertys Roads,Truganina,3029,VIC,-37.822684,144.721407,Pony Club,Wyndham (C),North and West Metropolitan Region
Tullamarine Pony Club,Section Road,Greenvale,3059,VIC,-37.640482,144.871623,Pony Club,Hume (C),North and West Metropolitan Region
Upper Yarra Pony Club,Wesburn Park,Wesburn,3799,VIC,-37.771698,145.648146,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
Wangaratta Pony Club,Wangaratta Pony Club Grounds,Wangaratta,3677,VIC,-36.354329,146.325657,Pony Club,Wangaratta (RC),Hume Region
Werribee Pony Club,"Werribee Park,  National Equestrian Centre",Werribee South,3030,VIC,-37.951476,144.688053,Pony Club,Wyndham (C),North and West Metropolitan Region
Whittlesea Pony Club,Whittlesea Showgrounds,Whittlesea,3757,VIC,-37.509322,145.126375,Pony Club,Whittlesea (C); Nillumbik (S),North and West Metropolitan Region
